"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"7811",1,0,0,0,108,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,62,0,0,2,0,0,0,21,0,0,10,0,0,0,0,0,30,0,22,1,2,0,76,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7812",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,31,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
"7813",0,2,19,2,0,0,1,0,0,2,0,10,0,0,25,0,7,0,1,0,4,0,5,18,0,0,6,0,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,3,1,0,0,5,0,0,0,0,0,0,0,8,0,0,0,11,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"7814",0,2,0,0,0,0,6,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7815",0,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,138,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0
"7816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,87,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
"7817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,68,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,14,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0
"7818",0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,12,0,0,0,0,0,1,0,0,1,0,0,0,0,10,0,0,13,0,27,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,8,0,0,0,0,0,0,0,8,5,0,4,0,0,17,0,0,0,2,0,0,10,0,2,0,14,2,1,0,0,0,0,0,0,0,0,0,1,5,1
"7819",0,1,2,0,0,0,0,0,2,0,0,12,0,6,0,0,1,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,53,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,5,0,0,0,25,0,0,0,10,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,7,0,1,17,0
"7820",2,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,30,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,3,0,0,0,0
"7821",0,0,0,1,0,0,3,31,0,9,78,0,0,0,5,0,0,0,10,0,0,1,5,6,6,0,0,4,1,24,0,0,0,0,10,2,0,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0
"7822",0,0,5,0,0,0,0,5,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,59,0,0,0,1,0,54,0,0,28,0,0,5,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,2,105,0,56,1
"7823",0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,5,0,1,0
"7824",1,1,35,3,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,17,3,5,0,16,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"7825",0,0,0,0,2,0,0,0,15,0,6,1,0,0,0,27,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,20,0,11,0,0,0,51,0,0,0,0,0,0,0,0,1,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,6,0,0,0,0,0,2,0,0,0,24
"7826",0,43,36,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,73,13,0,0,0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,32,0,0,0,0,0,0,7,0,19,0,0,0,0,0
